Nome,λ teórico [Å],λ observado [Å],Δλ [Å],Flux,S/N (aprox)
[O III] 5007,5006.8,5006.0,-0.8000000000001819,8.361239,17.284844197901013
[O II] 3727,3726.0,3727.0,1.0,7.256869,15.00182568989808
Hβ,4861.3,4860.0,-1.300000000000182,4.333270000000001,8.957990175551558
[O III] 4959,4958.9,4958.0,-0.8999999999996362,2.672159,5.524043982837828
Hγ,4340.5,4340.0,-0.5,2.075177,4.289927740143253
Não identificada,,4257.0,,1.1481970000000001,2.3736202557416854
Hδ,4101.7,4101.0,-0.6999999999998181,1.0974849999999998,2.268785431744433
Não identificada,,3234.0,,1.0085700000000002,2.084975123026268
Não identificada,,3252.0,,0.9356399999999998,1.934209944880669
Não identificada,,3165.0,,0.90717,1.8753550892409443
Não identificada,,3187.0,,0.8684100000000001,1.795228141415312
Não identificada,,3213.0,,0.8520599999999998,1.7614284614114648
He I 3889,3888.6,3888.0,-0.599999999999909,0.724442,1.4976090386144694
Não identificada,,3968.0,,0.6579229999999999,1.3600970560960675
Não identificada,,3503.0,,0.57857,1.1960538752186836
Não identificada,,3333.0,,0.5036,1.0410714892927893
Não identificada,,5559.0,,0.4990230000000001,1.031609646150428
[Ne III] 3869,3868.8,3867.0,-1.800000000000182,0.45913000000000004,0.9491404941997583
Não identificada,,5448.0,,0.4514370000000001,0.933237072898866
He II 3203,3203.0,3202.0,-1.0,0.4170100000000001,0.8620675570889319
Não identificada,,3153.0,,0.41205,0.8518139538584071
Não identificada,,5588.0,,0.40567,0.8386248432514014
Não identificada,,3278.0,,0.3794900000000001,0.7845040100709306
Não identificada,,5527.0,,0.37242300000000006,0.7698946927261486
Não identificada,,3536.0,,0.35750899999999985,0.7390635962382359
Não identificada,,3366.0,,0.35240000000000005,0.7285019714590527
Não identificada,,3521.0,,0.35028799999999993,0.7241359210512162
Não identificada,,3492.0,,0.3364499999999999,0.6955291949415385
Não identificada,,5304.0,,0.320055,0.6616364882954797
Não identificada,,3460.0,,0.31761000000000017,0.6565820407352719
Não identificada,,3601.0,,0.31626600000000005,0.653803645021194
Não identificada,,3769.0,,0.31582900000000014,0.6529002529623757
Não identificada,,3350.0,,0.31345,0.6479822444774122
[Ne V] 3426,3425.9,3424.0,-1.900000000000091,0.30744000000000016,0.6355580195952646
Não identificada,,4067.0,,0.2950100000000001,0.6098619937574778
Não identificada,,5219.0,,0.292041,0.6037243026301736
Não identificada,,5395.0,,0.264424,0.5466328186750525
Não identificada,,3590.0,,0.26441499999999996,0.54661421334661
Não identificada,,3643.0,,0.2529950000000001,0.5230061188118135
Não identificada,,3836.0,,0.24102400000000013,0.4982589647245936
Não identificada,,3789.0,,0.23660400000000004,0.4891216812006178
Não identificada,,5333.0,,0.23385,0.4834284506972175
Não identificada,,4543.0,,0.2332900000000001,0.482270785816352
Não identificada,,3310.0,,0.22885,0.4730921571180595
Não identificada,,4221.0,,0.22786499999999998,0.47105590728296537
Não identificada,,3397.0,,0.22632000000000008,0.4678619925670058
Não identificada,,3411.0,,0.22628000000000004,0.46777930221837244
Não identificada,,5573.0,,0.21994599999999997,0.45468528551229503
Não identificada,,4316.0,,0.21853600000000006,0.45177045072297267
Não identificada,,5494.0,,0.206194,0.426256343652179
Não identificada,,3684.0,,0.203434,0.42055070959648383
Não identificada,,4812.0,,0.20074400000000003,0.41498978365089695
Não identificada,,3949.0,,0.19322799999999996,0.39945226714270654
