wavelength	flux
2.704000e+03	
2.705000e+03	
2.706000e+03	
2.707000e+03	
2.708000e+03	
2.709000e+03	
2.710000e+03	
2.711000e+03	
2.712000e+03	
2.713000e+03	-1.967165e+01
2.714000e+03	-9.098237e+00
2.715000e+03	1.426055e+00
2.716000e+03	3.448297e+00
2.717000e+03	1.431177e+01
2.718000e+03	1.721228e+01
2.719000e+03	3.199861e+00
2.720000e+03	3.060320e+00
2.721000e+03	2.179993e+01
2.722000e+03	1.112134e+01
2.723000e+03	-4.662119e+00
2.724000e+03	6.381944e+00
2.725000e+03	1.246881e+01
2.726000e+03	1.023463e+01
2.727000e+03	3.195993e+00
2.728000e+03	2.245534e+01
2.729000e+03	2.579970e+01
2.730000e+03	-3.684395e-01
2.731000e+03	1.154588e+01
2.732000e+03	7.800862e-01
2.733000e+03	2.300763e+01
2.734000e+03	8.547798e+00
2.735000e+03	1.358497e+01
2.736000e+03	1.276428e+01
2.737000e+03	4.811023e+00
2.738000e+03	7.531039e+00
2.739000e+03	1.032811e+01
2.740000e+03	2.872721e+01
2.741000e+03	8.148798e+00
2.742000e+03	7.401643e+00
2.743000e+03	3.193487e+01
2.744000e+03	1.205001e+01
2.745000e+03	1.615422e+01
2.746000e+03	1.972512e+01
2.747000e+03	2.289506e+01
2.748000e+03	1.577243e+01
2.749000e+03	3.144147e+01
2.750000e+03	8.544190e+00
2.751000e+03	1.466532e+01
2.752000e+03	1.535777e+01
2.753000e+03	1.381300e+01
2.754000e+03	1.170539e+01
2.755000e+03	2.816193e+01
2.756000e+03	1.448556e+01
2.757000e+03	6.444503e+00
2.758000e+03	1.095755e+01
2.759000e+03	1.434157e+01
2.760000e+03	7.465670e+00
2.761000e+03	8.710729e+00
2.762000e+03	3.456774e+01
2.763000e+03	1.548868e+01
2.764000e+03	4.138971e+00
2.765000e+03	3.286768e+01
2.766000e+03	1.496180e+01
2.767000e+03	3.351688e+01
2.768000e+03	4.548437e+01
2.769000e+03	2.665502e+01
2.770000e+03	2.353713e+01
2.771000e+03	2.149772e+01
2.772000e+03	2.752196e+01
2.773000e+03	3.129056e+01
2.774000e+03	3.363743e+01
2.775000e+03	2.135451e+01
2.776000e+03	3.067703e+01
2.777000e+03	8.335527e+00
2.778000e+03	1.129129e+01
2.779000e+03	2.175656e+01
2.780000e+03	1.995145e+01
2.781000e+03	2.151528e+01
2.782000e+03	3.345035e+01
2.783000e+03	1.036499e+01
2.784000e+03	3.059324e+00
2.785000e+03	5.816532e-01
2.786000e+03	-1.270229e+01
2.787000e+03	2.656212e+01
2.788000e+03	3.393947e+01
2.789000e+03	2.808101e+01
2.790000e+03	5.699718e+01
2.791000e+03	1.912860e+01
2.792000e+03	4.284456e+01
2.793000e+03	2.198755e+01
2.794000e+03	4.270662e+01
2.795000e+03	3.195290e+01
2.796000e+03	1.269431e+01
2.797000e+03	1.069147e+01
2.798000e+03	4.586020e+00
2.799000e+03	1.824210e+00
2.800000e+03	-5.900606e+00
2.801000e+03	9.765170e+00
2.802000e+03	8.047069e+00
2.803000e+03	1.313374e+01
2.804000e+03	3.302539e+01
2.805000e+03	1.190234e+01
2.806000e+03	-3.671965e+00
2.807000e+03	4.256705e+00
2.808000e+03	3.339080e+01
2.809000e+03	4.681416e+01
2.810000e+03	6.137252e+01
2.811000e+03	2.992024e+01
2.812000e+03	3.171859e+01
2.813000e+03	3.667960e+01
2.814000e+03	-2.543521e+01
2.815000e+03	9.743036e+00
2.816000e+03	3.063128e+01
2.817000e+03	4.756300e+01
2.818000e+03	4.501659e+01
2.819000e+03	3.318331e+01
2.820000e+03	3.309530e+01
2.821000e+03	8.018259e+00
2.822000e+03	1.536862e+01
2.823000e+03	2.312496e+01
2.824000e+03	1.610220e+01
2.825000e+03	1.501049e+01
2.826000e+03	4.777193e+00
2.827000e+03	3.822039e+01
2.828000e+03	5.707922e+01
2.829000e+03	1.316940e+01
2.830000e+03	5.931585e+01
2.831000e+03	9.748665e+00
2.832000e+03	2.206230e+01
2.833000e+03	7.485506e+00
2.834000e+03	3.422245e+01
2.835000e+03	4.608423e+01
2.836000e+03	5.525528e+01
2.837000e+03	4.153751e+01
2.838000e+03	1.859666e+01
2.839000e+03	1.832404e+01
2.840000e+03	2.948273e+01
2.841000e+03	2.314406e+01
2.842000e+03	6.615435e+00
2.843000e+03	2.015955e+01
