wavelength	flux
2.704000e+03	
2.705000e+03	
2.706000e+03	
2.707000e+03	
2.708000e+03	
2.709000e+03	
2.710000e+03	
2.711000e+03	
2.712000e+03	
2.713000e+03	
2.714000e+03	
2.715000e+03	
2.716000e+03	
2.717000e+03	
2.718000e+03	
2.719000e+03	
2.720000e+03	
2.721000e+03	
2.722000e+03	
2.723000e+03	
2.724000e+03	
2.725000e+03	
2.726000e+03	
2.727000e+03	
2.728000e+03	
2.729000e+03	
2.730000e+03	
2.731000e+03	
2.732000e+03	
2.733000e+03	
2.734000e+03	
2.735000e+03	
2.736000e+03	
2.737000e+03	
2.738000e+03	
2.739000e+03	
2.740000e+03	
2.741000e+03	
2.742000e+03	
2.743000e+03	
2.744000e+03	
2.745000e+03	
2.746000e+03	
2.747000e+03	
2.748000e+03	
2.749000e+03	
2.750000e+03	
2.751000e+03	
2.752000e+03	
2.753000e+03	
2.754000e+03	
2.755000e+03	
2.756000e+03	
2.757000e+03	
2.758000e+03	
2.759000e+03	
2.760000e+03	
2.761000e+03	
2.762000e+03	
2.763000e+03	
2.764000e+03	
2.765000e+03	
2.766000e+03	
2.767000e+03	
2.768000e+03	
2.769000e+03	
2.770000e+03	
2.771000e+03	
2.772000e+03	
2.773000e+03	
2.774000e+03	
2.775000e+03	
2.776000e+03	
2.777000e+03	
2.778000e+03	
2.779000e+03	
2.780000e+03	
2.781000e+03	
2.782000e+03	
2.783000e+03	
2.784000e+03	
2.785000e+03	
2.786000e+03	
2.787000e+03	
2.788000e+03	
2.789000e+03	
2.790000e+03	
2.791000e+03	
2.792000e+03	
2.793000e+03	
2.794000e+03	
2.795000e+03	
2.796000e+03	
2.797000e+03	
2.798000e+03	
2.799000e+03	
2.800000e+03	
2.801000e+03	
2.802000e+03	
2.803000e+03	
2.804000e+03	
2.805000e+03	
2.806000e+03	
2.807000e+03	
2.808000e+03	
2.809000e+03	
2.810000e+03	
2.811000e+03	
2.812000e+03	
2.813000e+03	
2.814000e+03	
2.815000e+03	
2.816000e+03	
2.817000e+03	
2.818000e+03	
2.819000e+03	
2.820000e+03	
2.821000e+03	
2.822000e+03	
2.823000e+03	
2.824000e+03	
2.825000e+03	
2.826000e+03	
2.827000e+03	
2.828000e+03	
2.829000e+03	
2.830000e+03	
2.831000e+03	
2.832000e+03	
2.833000e+03	
2.834000e+03	
2.835000e+03	
2.836000e+03	-5.153854e+01
2.837000e+03	9.863894e+00
2.838000e+03	9.543651e-03
2.839000e+03	1.674798e+01
2.840000e+03	3.438010e+01
2.841000e+03	2.182077e+01
2.842000e+03	1.773228e+01
2.843000e+03	2.945784e+01
2.844000e+03	3.647954e+01
2.845000e+03	2.679783e+01
2.846000e+03	4.910958e+00
2.847000e+03	2.001890e+01
2.848000e+03	1.962982e+01
2.849000e+03	2.251028e+01
2.850000e+03	1.897184e+01
2.851000e+03	1.484837e+01
2.852000e+03	2.684922e+01
2.853000e+03	2.924657e+01
2.854000e+03	2.961014e+01
2.855000e+03	2.985761e+01
2.856000e+03	1.671636e+01
2.857000e+03	2.577967e+01
2.858000e+03	1.978743e+01
2.859000e+03	2.694941e+01
2.860000e+03	1.315905e+01
2.861000e+03	1.515228e+01
2.862000e+03	2.432659e+01
2.863000e+03	1.073067e+01
2.864000e+03	3.142682e+00
2.865000e+03	1.707588e+01
2.866000e+03	3.694333e+01
2.867000e+03	3.233732e+01
2.868000e+03	1.840705e+01
2.869000e+03	2.054845e+01
2.870000e+03	2.355461e+01
2.871000e+03	3.323694e+01
2.872000e+03	7.808183e+00
2.873000e+03	3.478185e+01
2.874000e+03	5.603246e+01
2.875000e+03	4.526249e+01
2.876000e+03	3.441710e+01
2.877000e+03	3.463649e+01
2.878000e+03	1.674045e+01
2.879000e+03	4.266883e+01
2.880000e+03	2.375248e+01
2.881000e+03	2.613409e+01
2.882000e+03	4.502395e+01
2.883000e+03	3.904902e+01
2.884000e+03	3.258654e+01
2.885000e+03	1.659013e+01
2.886000e+03	1.183579e+01
2.887000e+03	3.372818e+01
2.888000e+03	4.653826e+01
2.889000e+03	3.226236e+01
2.890000e+03	3.749033e+01
2.891000e+03	3.617512e+01
2.892000e+03	3.439083e+01
2.893000e+03	2.270820e+01
2.894000e+03	2.845772e+01
2.895000e+03	2.510188e+01
2.896000e+03	2.524908e+01
2.897000e+03	5.925344e+01
