wavelength	flux	var	error
2.704000e+03			
2.705000e+03			
2.706000e+03			
2.707000e+03			
2.708000e+03			
2.709000e+03			
2.710000e+03			
2.711000e+03			
2.712000e+03			
2.713000e+03			
2.714000e+03			
2.715000e+03			
2.716000e+03			
2.717000e+03			
2.718000e+03			
2.719000e+03			
2.720000e+03			
2.721000e+03			
2.722000e+03			
2.723000e+03			
2.724000e+03			
2.725000e+03			
2.726000e+03			
2.727000e+03			
2.728000e+03			
2.729000e+03			
2.730000e+03			
2.731000e+03			
2.732000e+03			
2.733000e+03			
2.734000e+03			
2.735000e+03			
2.736000e+03			
2.737000e+03			
2.738000e+03			
2.739000e+03			
2.740000e+03			
2.741000e+03			
2.742000e+03	-9.920474e-19	2.193694e-37	4.683688e-19
2.743000e+03	-3.008099e-19	1.203495e-36	1.097039e-18
2.744000e+03	2.714321e-18	1.391544e-36	1.179637e-18
2.745000e+03	3.233215e-18	1.443808e-36	1.201586e-18
2.746000e+03	1.091499e-18	1.450746e-36	1.204469e-18
2.747000e+03	4.807454e-19	1.429020e-36	1.195416e-18
2.748000e+03	1.247195e-18	1.417124e-36	1.190430e-18
2.749000e+03	1.407679e-18	1.408752e-36	1.186909e-18
2.750000e+03	1.417529e-18	1.376090e-36	1.173068e-18
2.751000e+03	1.308805e-18	1.339494e-36	1.157365e-18
2.752000e+03	1.797777e-18	1.328238e-36	1.152492e-18
2.753000e+03	1.453199e-18	1.279962e-36	1.131354e-18
2.754000e+03	2.203921e-18	1.292889e-36	1.137053e-18
2.755000e+03	1.065748e-18	1.251481e-36	1.118696e-18
2.756000e+03	1.306172e-18	1.238071e-36	1.112686e-18
2.757000e+03	2.394624e-18	1.233228e-36	1.110508e-18
2.758000e+03	1.923432e-18	1.189658e-36	1.090714e-18
2.759000e+03	1.376849e-18	1.169670e-36	1.081513e-18
2.760000e+03	2.047554e-18	1.175506e-36	1.084208e-18
2.761000e+03	2.742944e-18	1.185944e-36	1.089010e-18
2.762000e+03	7.998598e-19	1.131057e-36	1.063511e-18
2.763000e+03	5.006487e-19	1.115767e-36	1.056299e-18
2.764000e+03	8.141425e-19	1.105048e-36	1.051212e-18
2.765000e+03	8.413968e-19	1.098458e-36	1.048073e-18
2.766000e+03	1.771210e-18	1.087210e-36	1.042693e-18
2.767000e+03	1.795065e-18	1.082133e-36	1.040256e-18
2.768000e+03	1.977599e-18	1.094436e-36	1.046153e-18
2.769000e+03	2.014915e-18	1.083418e-36	1.040874e-18
2.770000e+03	1.821059e-18	1.071393e-36	1.035081e-18
2.771000e+03	1.299196e-18	1.056095e-36	1.027665e-18
2.772000e+03	9.895085e-19	1.038423e-36	1.019031e-18
2.773000e+03	3.943265e-19	1.007949e-36	1.003967e-18
2.774000e+03	1.687095e-18	1.048790e-36	1.024105e-18
2.775000e+03	1.291662e-18	1.027851e-36	1.013830e-18
2.776000e+03	1.227175e-18	1.007846e-36	1.003915e-18
2.777000e+03	2.030909e-18	1.029423e-36	1.014605e-18
2.778000e+03	1.854776e-18	1.022071e-36	1.010975e-18
2.779000e+03	1.247427e-18	9.975816e-37	9.987901e-19
2.780000e+03	1.180544e-18	9.780403e-37	9.889592e-19
2.781000e+03	1.076976e-18	9.722317e-37	9.860181e-19
2.782000e+03	1.001140e-18	9.703801e-37	9.850787e-19
2.783000e+03	1.747933e-21	9.346348e-37	9.667651e-19
2.784000e+03	1.042393e-18	9.446881e-37	9.719507e-19
2.785000e+03	1.482132e-18	9.360098e-37	9.674760e-19
2.786000e+03	7.251344e-19	9.121150e-37	9.550471e-19
2.787000e+03	9.364816e-19	9.172013e-37	9.577063e-19
2.788000e+03	1.178154e-18	9.252288e-37	9.618881e-19
2.789000e+03	1.172448e-18	9.050684e-37	9.513509e-19
2.790000e+03	4.491651e-19	8.899664e-37	9.433803e-19
2.791000e+03	6.623910e-20	8.670252e-37	9.311419e-19
2.792000e+03	1.133954e-18	8.800713e-37	9.381212e-19
2.793000e+03	1.744745e-18	8.804043e-37	9.382986e-19
2.794000e+03	1.050058e-18	8.525244e-37	9.233225e-19
2.795000e+03	2.921344e-19	8.276550e-37	9.097555e-19
2.796000e+03	1.078835e-18	8.376666e-37	9.152413e-19
2.797000e+03	5.904114e-19	8.283580e-37	9.101418e-19
2.798000e+03	1.008296e-18	8.359316e-37	9.142930e-19
