wavelength	flux	var	error
2.704000e+03			
2.705000e+03			
2.706000e+03			
2.707000e+03			
2.708000e+03			
2.709000e+03			
2.710000e+03			
2.711000e+03			
2.712000e+03			
2.713000e+03			
2.714000e+03			
2.715000e+03			
2.716000e+03			
2.717000e+03			
2.718000e+03			
2.719000e+03			
2.720000e+03			
2.721000e+03			
2.722000e+03			
2.723000e+03			
2.724000e+03			
2.725000e+03			
2.726000e+03			
2.727000e+03			
2.728000e+03			
2.729000e+03			
2.730000e+03			
2.731000e+03			
2.732000e+03			
2.733000e+03			
2.734000e+03			
2.735000e+03			
2.736000e+03			
2.737000e+03			
2.738000e+03			
2.739000e+03			
2.740000e+03			
2.741000e+03			
2.742000e+03			
2.743000e+03			
2.744000e+03			
2.745000e+03			
2.746000e+03			
2.747000e+03			
2.748000e+03			
2.749000e+03			
2.750000e+03			
2.751000e+03			
2.752000e+03			
2.753000e+03			
2.754000e+03			
2.755000e+03			
2.756000e+03			
2.757000e+03			
2.758000e+03			
2.759000e+03			
2.760000e+03			
2.761000e+03			
2.762000e+03			
2.763000e+03			
2.764000e+03			
2.765000e+03			
2.766000e+03			
2.767000e+03			
2.768000e+03			
2.769000e+03			
2.770000e+03			
2.771000e+03			
2.772000e+03			
2.773000e+03			
2.774000e+03			
2.775000e+03			
2.776000e+03			
2.777000e+03			
2.778000e+03			
2.779000e+03			
2.780000e+03			
2.781000e+03			
2.782000e+03			
2.783000e+03			
2.784000e+03			
2.785000e+03			
2.786000e+03			
2.787000e+03			
2.788000e+03			
2.789000e+03			
2.790000e+03			
2.791000e+03			
2.792000e+03			
2.793000e+03			
2.794000e+03			
2.795000e+03			
2.796000e+03			
2.797000e+03			
2.798000e+03			
2.799000e+03			
2.800000e+03			
2.801000e+03			
2.802000e+03			
2.803000e+03			
2.804000e+03			
2.805000e+03			
2.806000e+03			
2.807000e+03			
2.808000e+03			
2.809000e+03			
2.810000e+03			
2.811000e+03			
2.812000e+03			
2.813000e+03			
2.814000e+03			
2.815000e+03			
2.816000e+03			
2.817000e+03			
2.818000e+03			
2.819000e+03			
2.820000e+03			
2.821000e+03			
2.822000e+03			
2.823000e+03			
2.824000e+03			
2.825000e+03			
2.826000e+03			
2.827000e+03			
2.828000e+03			
2.829000e+03			
2.830000e+03			
2.831000e+03			
2.832000e+03			
2.833000e+03			
2.834000e+03			
2.835000e+03			
2.836000e+03	-5.153854e+01	1.091563e+02	1.044779e+01
2.837000e+03	9.863894e+00	1.751592e+02	1.323477e+01
2.838000e+03	9.543651e-03	1.907781e+02	1.381225e+01
2.839000e+03	1.674798e+01	2.064063e+02	1.436685e+01
2.840000e+03	3.438010e+01	2.137751e+02	1.462105e+01
2.841000e+03	2.182077e+01	2.161984e+02	1.470369e+01
2.842000e+03	1.773228e+01	2.140125e+02	1.462917e+01
2.843000e+03	2.945784e+01	2.207989e+02	1.485930e+01
2.844000e+03	3.647954e+01	2.273365e+02	1.507768e+01
2.845000e+03	2.679783e+01	2.219648e+02	1.489848e+01
2.846000e+03	4.910958e+00	2.091211e+02	1.446102e+01
2.847000e+03	2.001890e+01	2.161792e+02	1.470304e+01
2.848000e+03	1.962982e+01	2.173455e+02	1.474264e+01
2.849000e+03	2.251028e+01	2.209250e+02	1.486355e+01
2.850000e+03	1.897184e+01	2.208659e+02	1.486156e+01
2.851000e+03	1.484837e+01	2.192323e+02	1.480649e+01
2.852000e+03	2.684922e+01	2.239278e+02	1.496422e+01
2.853000e+03	2.924657e+01	2.266834e+02	1.505601e+01
2.854000e+03	2.961014e+01	2.294762e+02	1.514847e+01
2.855000e+03	2.985761e+01	2.328117e+02	1.525817e+01
2.856000e+03	1.671636e+01	2.257650e+02	1.502548e+01
2.857000e+03	2.577967e+01	2.351116e+02	1.533335e+01
2.858000e+03	1.978743e+01	2.359060e+02	1.535923e+01
2.859000e+03	2.694941e+01	2.408859e+02	1.552050e+01
2.860000e+03	1.315905e+01	2.360913e+02	1.536526e+01
2.861000e+03	1.515228e+01	2.396440e+02	1.548044e+01
2.862000e+03	2.432659e+01	2.487199e+02	1.577085e+01
2.863000e+03	1.073067e+01	2.455684e+02	1.567062e+01
2.864000e+03	3.142682e+00	2.439137e+02	1.561774e+01
2.865000e+03	1.707588e+01	2.559755e+02	1.599924e+01
2.866000e+03	3.694333e+01	2.709008e+02	1.645907e+01
