wavelength,flux_obs,flux_syn,flux_residual
3150.0,1.54104,1.4024,0.13863999999999987
3151.0,1.42077,1.40203,0.01873999999999998
3152.0,1.61129,1.40149,0.2098
3153.0,1.81278,1.40073,0.41205
3154.0,1.52959,1.39965,0.12993999999999994
3155.0,1.36857,1.39821,-0.02963999999999989
3156.0,1.42374,1.3964,0.02733999999999992
3157.0,1.14506,1.39426,-0.2492000000000001
3158.0,1.45165,1.39187,0.059780000000000166
3159.0,1.72748,1.38933,0.33814999999999995
3160.0,1.52135,1.38678,0.13457000000000008
3161.0,1.89162,1.38437,0.50725
3162.0,1.3762,1.3822,-0.006000000000000005
3163.0,1.62375,1.38036,0.24339
3164.0,2.15102,1.37888,0.7721399999999998
3165.0,2.28492,1.37775,0.90717
3166.0,1.2005,1.37693,-0.1764300000000001
3167.0,1.81401,1.37634,0.43767
3168.0,1.37233,1.3759,-0.003569999999999851
3169.0,1.1331,1.37552,-0.24242000000000008
3170.0,1.0894,1.37509,-0.28569
3171.0,0.965697,1.37451,-0.40881299999999987
3172.0,1.20534,1.37366,-0.16832000000000003
3173.0,1.28643,1.37243,-0.08600000000000008
3174.0,1.78592,1.37073,0.41518999999999995
3175.0,1.65933,1.36848,0.29085000000000005
3176.0,1.31929,1.36562,-0.04632999999999998
3177.0,0.756025,1.36223,-0.6062050000000001
3178.0,1.08681,1.35847,-0.27166
3179.0,1.22047,1.35449,-0.13402000000000003
3180.0,1.41628,1.35051,0.06576999999999988
3181.0,1.26151,1.34673,-0.08522000000000007
3182.0,1.87078,1.34334,0.5274400000000001
3183.0,1.81507,1.34046,0.47461
3184.0,1.33662,1.33813,-0.0015100000000001224
3185.0,1.27949,1.33635,-0.05685999999999991
3186.0,1.6353,1.33506,0.30024000000000006
3187.0,2.20258,1.33417,0.8684100000000001
3188.0,1.68318,1.33356,0.3496199999999998
3189.0,1.57317,1.33312,0.24004999999999987
3190.0,0.679305,1.33277,-0.653465
3191.0,1.2605,1.3324,-0.07190000000000007
